artist_name,track_name,popularity,track_id,track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,genre
Weather Factory,Deep Thunderstorm,74,4xyiM6KWF90l9wQh07GJvN,spotify:track:4xyiM6KWF90l9wQh07GJvN,0.135,0.579,-27.105,0.0932,0.00143,0.949,0.393,0.0327,100.841,152563,asmr
Weather Factory,Calm Rain & Thunder,73,5fkUSLLclp3LdXiMw3zTgR,spotify:track:5fkUSLLclp3LdXiMw3zTgR,0.16,0.56,-25.388,0.0772,0.00238,0.714,0.413,0.0271,129.874,200693,asmr
Weather Factory,Forest Thunderstorm,70,5lyslBBFXOiu2uB0sEdLSa,spotify:track:5lyslBBFXOiu2uB0sEdLSa,0.142,0.91,-20.77,0.115,0.0469,0.957,0.509,0.0135,65.291,150444,asmr
Masters of Binaurality,Gamma Freq Pads,64,1yOlQ6v0E3Jgo9iY0dtMyQ,spotify:track:1yOlQ6v0E3Jgo9iY0dtMyQ,0.205,0.121,-16.988,0.0489,0.713,0.939,0.11,0.0283,71.895,220606,asmr
Mindful Behaviour,Alpha 8 Hz,63,5VV9fAmGLlXsK568Uax9A2,spotify:track:5VV9fAmGLlXsK568Uax9A2,0.243,0.0632,-31.781,0.0838,0.996,0.794,0.106,0.0531,137.632,224049,asmr
Sleep Crickets,Crickets In Redwoods,54,3jd6uuUl4CBFZXOEjISEjf,spotify:track:3jd6uuUl4CBFZXOEjISEjf,0.34,0.554,-20.472,0.221,0.000155,0.973,0.114,0.156,130.144,175160,asmr
Alm Bark,Aarshedh,56,5Y6o3Nq4bKwMovfImGrgpP,spotify:track:5Y6o3Nq4bKwMovfImGrgpP,0.0849,0.118,-23.072,0.0559,0.993,0.993,0.108,0.0338,84.466,233629,asmr
Mindful Behaviour,Alpha Drone 8 Hz,56,1xrw0MIXasQIaD9oLqE4qF,spotify:track:1xrw0MIXasQIaD9oLqE4qF,0.218,0.0282,-30.323,0.0613,0.985,0.79,0.109,0.379,75.195,216000,asmr
Sleep Crickets,Crickets Namibia Forest,54,0EZhrWLeeSYtXcR4didS7Z,spotify:track:0EZhrWLeeSYtXcR4didS7Z,0.321,0.343,-25.154,0.0493,0.00145,0.973,0.0896,0.123,74.813,160986,asmr
Vorssenn,Binaural Alpha Sinus 142 Hz - 152 Hz,55,1KKFrrCMfrLpuqtw9TxOya,spotify:track:1KKFrrCMfrLpuqtw9TxOya,0.262,0.133,-20.637,0.0483,0.795,0.711,0.109,0.035,141.863,195205,asmr
Vorssenn,Binaural Alpha Sinus 100 Hz - 108 Hz,55,4m9mcrSgs6uJk8ddws1Yz7,spotify:track:4m9mcrSgs6uJk8ddws1Yz7,0.163,0.0295,-29.83,0.0515,0.868,0.424,0.109,0.0523,70.496,206608,asmr
Ivo Phi,Binaural Theta Sinus - 130 Hz - L 137 Hz - R,53,7LU7ssbGncKCBlyESFZCue,spotify:track:7LU7ssbGncKCBlyESFZCue,0.139,0.0341,-33.45,0.105,0.749,0.596,0.0907,0.0365,176.308,210000,asmr
Mindful Behaviour,Alpha 10 Hz,53,7qULBKJPUl7W5yZ0rNFV34,spotify:track:7qULBKJPUl7W5yZ0rNFV34,0.328,0.0217,-31.895,0.101,0.971,0.961,0.108,0.235,70.365,207950,asmr
Nature Recordings,Summmer Forest,57,2zWCsaxlGbohARJlNQ5aSM,spotify:track:2zWCsaxlGbohARJlNQ5aSM,0.483,0.28,-33.437,0.224,0.119,0.597,0.316,0.083,138.287,243920,asmr
Vorssenn,Binaural Alpha Sinus 150 Hz - 164 Hz,53,4EjAX6Pb5O3NljvbaanrRB,spotify:track:4EjAX6Pb5O3NljvbaanrRB,0.237,0.00268,-37.978,0.0609,0.8,0.725,0.109,0.0259,137.786,202583,asmr
Masters of Binaurality,Binaural Cricket Forest,46,5RXK8nAPqcP8evMwzRUVat,spotify:track:5RXK8nAPqcP8evMwzRUVat,0.277,0.444,-33.466,0.0481,0.591,0.453,0.0836,0.0269,69.374,165102,asmr
ASMR For Sleep,Asmr: Relaxing Ocean,44,1bT8rryqE1Qe2elHd1Fivh,spotify:track:1bT8rryqE1Qe2elHd1Fivh,0.21,0.594,-18.816,0.0531,0.957,0.994,0.109,0.00505,70.912,102005,asmr
Gibi ASMR,Ear Attention Part 1,49,4qdYR3HNR2Hdc8z1zjOkQO,spotify:track:4qdYR3HNR2Hdc8z1zjOkQO,0.486,0.00573,-33.161,0.149,0.0254,0.637,0.111,0.0701,80.03,350712,asmr
The Monotone Droner,Limbo,48,5VPo4IXOerHSXbxfq1w4wL,spotify:track:5VPo4IXOerHSXbxfq1w4wL,0.225,0.0515,-26.232,0.0417,0.301,0.657,0.111,0.0226,90.533,204499,asmr
FX Technician,Crickets by the Ocean 2 Binaural Crickets by the Ocean 2 Binaural,44,5S3eCI1QR0NGpWTR5asKLO,spotify:track:5S3eCI1QR0NGpWTR5asKLO,0.146,0.998,-10.878,0.0602,0.915,0.858,0.358,0.0134,168.964,182069,asmr
Vorssenn,Binaural Alpha Sinus 120 Hz - 128 Hz,48,1dkEjpn7OcceNXA8TbO6fO,spotify:track:1dkEjpn7OcceNXA8TbO6fO,0.138,0.152,-17.319,0.0685,0.858,0.848,0.119,0.0349,81.558,208000,asmr
